ID,Type,Information Category,Data,Detail,,,,
1,personal data,Consumer Data,Name,Angelina;Tom;Jackson,,,,
2,personal data,Consumer Data,Identity number,19480253;19739274;20048264,,,,
3,personal data,Consumer Data,Contact number,18362846284;16385628362;13927492753,,,,
4,personal data,Consumer Data,Address,Hsinchu;Kowloon Tong;Suzhou,,,,
5,personal data,Consumer Data,Signature information,Signature picture1;Signature picture2;Signature picture3,,,,
6,personal data,Consumer Data,Partner company data,Company name1;Company name2;Company name3;Company name4;Company name5;Company name6;Company name7;Company name8;Company name9;Company name10;Company nam11e;Company name;Company name12;Company name13;Company name14;Company name15;Company name16;Company name17;Company name18;Company name19;Company name20;Company name21;Company name22;Company name23;Company name24;Company name25;Company name26;Company name27;Company name28;Company name29;Company name30;Company name31;Company name32;Company name33;Company name36;Company name35;Company name36;Company name37;Company name38;Company name39;company address;company contact information,,,,
7,industry data,Product Data,Product name,Novel coronavirus vaccine;coronavirus detection reagent;Pacemaker,,,,
8,industry data,Product Data,Product price,$1921;$384;$93,,,,
9,industry data,Product Data,Product parameters,"Size;Specification;3765w3;42fg54;536h6;b54v543;btw56;vgrea68;3gw645;653bty5;bb54tbh6;76rby;43qvr4;2h76;h4w2n;75rn5;357vb;bnk7657;vbu75v68;k79b6jkb7;b7k6;c346x;cw3xcg6;nvc78v7;v5687j68;vh75vhji8;v58j6b;c46gc476;nk79l08;nb9876bj;x356c6;xc46v7;bn68nk9;bn,97nm0;x35gx5;b68",,,,
10,industry data,Business Data,Transaction date,"May 3, 2018;August 28, 2019;November 28, 2021",,,,
11,industry data,Business Data,Business amount,$933;$8294;$93200,,,,
12,industry data,Business Data,Business content,Trading products;offers;traders,,,,
13,industry data,Company Internal Data,Staff structure data,Employee personal information;position information,,,,
14,industry data,Company Internal Data,Control information,Enterprise development data;enterprise confidential data,,,,
15,industry data,Company Internal Data,Program Information,Enterprise R&D data;enterprise management information,,,,
